title	year	budget	revenue	release_date	runtime	vote_average	imdb_id	genre
Scary Movie 3	2003	48000000	220673217	2003-10-20	84	5.8	tt0306047	Comedy
Scary Movie 4	2006	45000000	178262620	2006-04-14	83	5.7	tt0362120	Comedy
Scary Movie 5	2013	20000000	75316327	2013-04-12	86	4.7	tt0795461	Comedy
Scary or Die	2012	NULL	NULL	2012-09-09	94	8	tt1833879	Horror
Scenes Of A Sexual Nature	2006	NULL	NULL	2006-11-03	91	7	tt0475380	Comedy-Drama-Romance-Foreign
Scent of a Woman	1992	NULL	NULL	1992-12-23	157	6.8	tt0105323	Drama
Schastye moe	2010	NULL	NULL	2010-05-19	127	8.5	tt1646114	Drama
Schatz im Silbersee Der	1962	NULL	NULL	1962-12-12	111	7.4	tt0056452	Adventure-Western
Schlafkrankheit	2011	NULL	NULL	2011-10-08	91	6.5	tt1822304	Drama
Schmutz	1987	NULL	NULL	1987-07-14	100	NULL	tt0089972	NULL
Schutzengel	2012	NULL	NULL	2012-09-18	133	6.4	tt2107814	Action-Thriller
Scomunicate Di San Valentino Le	1974	NULL	NULL	1974-03-26	93	NULL	tt0147374	Horror
Sconosciuta La	2006	8000000	NULL	2006-10-09	118	6.3	tt0494271	Drama-Mystery-Suspense
Scooby Doo 2: Monsters Unleashed	2004	NULL	NULL	2004-03-20	93	5.2	tt0331632	Action-Adventure-Comedy-Family
Scooby Doo and the Robots	2011	100000	NULL	2011-08-30	60	NULL	tt3413334	Adventure-Animation-Mystery-Family
ScoobyDoo	2002	NULL	NULL	2002-06-14	88	5.5	tt0267913	Adventure-Comedy-Family
ScoobyDoo and the Alien Invaders	2001	NULL	NULL	NULL	NULL	NULL	NULL	NULL
ScoobyDoo AbracadabraDoo	2010	NULL	NULL	2010-04-14	NULL	6	tt1599351	Animation-Comedy-Mystery-Family
Scoobydoo Curse Of  The Lake Monster	2010	NULL	NULL	2010-10-15	79	5.8	tt1618435	Comedy-Family
ScoobyDoo Mask of the Blue Falcon	2012	NULL	NULL	NULL	NULL	NULL	NULL	NULL
ScoobyDoo Pirates Ahoy	2006	NULL	NULL	2006-01-01	80	8	tt0867418	Animation-Comedy-Mystery-Family
Scoobydoo The Mystery Begins	2009	NULL	NULL	2009-09-12	82	6.6	tt1258157	Animation-Comedy-Thriller-Family
Scopone scientifico Lo	1972	NULL	NULL	1972-01-01	113	NULL	tt0069235	Comedy
Score The	2001	68000000	71069884	2001-07-13	124	6.8	tt0227445	Action-Crime-Thriller
Scorpion King 2: Rise of a Warrior The	2008	NULL	NULL	2008-08-19	109	4.1	tt1104123	Action
Scorpion King The	2002	60000000	164996077	2002-04-17	92	5.3	tt0277296	Adventure
Scott Pilgrim vs the World	2010	60000000	46489927	2010-08-13	112	7	tt0446029	Action-Adventure-Comedy
Scourge	2008	NULL	NULL	2008-01-31	92	4	tt1137477	Drama-Horror-Mystery-Science Fiction
Scouting Book for Boys The	2009	NULL	NULL	2009-01-01	93	NULL	tt1022885	Drama-Foreign
Scream	1996	14000000	173046663	1996-12-19	111	6.6	tt0117571	Crime-Horror-Mystery
Scream 2	1997	24000000	172363301	1997-12-09	120	6.1	tt0120082	Horror-Mystery
Scream 3	2000	40000000	161834276	2000-02-03	116	6.2	tt0134084	Horror-Mystery
Scream 4	2011	40000000	96181484	2011-04-11	111	6.2	tt1262416	Horror-Mystery
Scream of the Banshee	2011	2000000	NULL	2011-03-26	90	5.9	tt1548628	Horror
Screamers: The Hunting	2009	NULL	NULL	2009-02-17	94	3.4	tt1214983	Science Fiction
Scusa Ma Ti Voglio Sposare	2010	NULL	NULL	2010-02-12	106	7.5	tt1513892	Comedy-Drama-Romance
Se sei vivo spara	1967	NULL	NULL	1967-05-03	100	6	tt0062082	Western
Se jie	2007	15000000	NULL	2007-08-30	156	6.1	tt0808357	Action-Drama-Thriller-Romance-Indie
Se7en	1995	33000000	327311859	1995-09-22	127	7.5	tt0114369	Crime-Mystery-Thriller
Sea Monsters: A Prehistoric Adventure	2007	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Sea of Love	1989	NULL	58571513	1989-09-15	113	8.9	tt0098273	Crime-Drama-Mystery-Suspense
Seabiscuit	2003	87000000	148336445	2003-07-22	141	6.3	tt0329575	Drama-History
Seachd: The Inaccessible Pinnacle	2007	NULL	NULL	2007-10-05	100	NULL	tt0834951	Drama
Seal Team 6: The Raid on Osama Bin Laden	2012	NULL	NULL	2012-11-04	90	5.7	tt2095605	Action
Seamstress The	2009	2500000	NULL	2009-10-06	85	4.6	tt1326260	Crime-Horror-Mystery-Thriller
Search for Santa Paws The	2010	NULL	NULL	2010-11-23	89	6.4	tt1544572	Adventure-Family
Searchers The	1956	3750000	NULL	1956-03-13	119	8	tt0049730	Western
Searching For Bobby Fischer	1993	NULL	7266383	1993-01-01	110	7.3	tt0108065	Drama-Family
Searching for Sugar Man	2012	NULL	NULL	2012-07-27	85	7.9	tt2125608	Documentary
Season Of The Witch	2011	40000000	88100000	2011-01-07	95	5.5	tt0479997	Action-Adventure-Fantasy
Sebbe	2010	NULL	NULL	2010-03-12	83	NULL	tt1548629	Drama
Second Hand Wedding	2008	NULL	NULL	2008-05-07	98	NULL	tt1210359	Comedy-Drama
Secondhand Lions	2003	NULL	NULL	2003-09-19	111	6.7	tt0327137	Comedy-Drama-Family
Secret Diaries Of Miss Anne Lister The	2010	NULL	NULL	2010-03-01	90	8	tt1555126	Drama-Family-Foreign
Secret Handshake A	2007	NULL	NULL	2007-05-01	94	NULL	tt0970543	Drama-Horror-Thriller
